index,type,name,resident,streamed,parentStack
34,image,i_t6_wpn_briefcase_bomb_detail_c,289,1441792,|mc/mtl_t6_wpn_briefcase_bomb_detail|material|t6_mod_intel_upload|xmodel|zone_source/core_mod.zone|csv
35,material,mc/mtl_t6_wpn_briefcase_bomb_detail,1325,0,|t6_mod_intel_upload|xmodel|zone_source/core_mod.zone|csv
36,image,i_t6_wpn_laster_cutter_n,281,393216,|mc/mtl_t6_wpn_laster_cutter|material|t6_mod_intel_upload|xmodel|zone_source/core_mod.zone|csv
37,image,i_t6_wpn_laster_cutter_c,281,393216,|mc/mtl_t6_wpn_laster_cutter|material|t6_mod_intel_upload|xmodel|zone_source/core_mod.zone|csv
38,material,mc/mtl_t6_wpn_laster_cutter,846,0,|t6_mod_intel_upload|xmodel|zone_source/core_mod.zone|csv
39,techset,mc/lit_detail_alphatest#e6142445,349049,0,|mc/mtl_t6_wpn_briefcase_bomb_alpha|material|t6_mod_intel_upload|xmodel|zone_source/core_mod.zone|csv
40,image,i_t6_wpn_briefcase_bomb_alpha_n,288,131072,|mc/mtl_t6_wpn_briefcase_bomb_alpha|material|t6_mod_intel_upload|xmodel|zone_source/core_mod.zone|csv
41,image,i_t6_wpn_briefcase_bomb_alpha_c,288,131072,|mc/mtl_t6_wpn_briefcase_bomb_alpha|material|t6_mod_intel_upload|xmodel|zone_source/core_mod.zone|csv
42,material,mc/mtl_t6_wpn_briefcase_bomb_alpha,887,0,|t6_mod_intel_upload|xmodel|zone_source/core_mod.zone|csv
43,image,i_t6_wpn_tablet_n,274,393216,|mc/mtl_t6_wpn_tablet|material|t6_mod_intel_upload|xmodel|zone_source/core_mod.zone|csv
44,image,i_t6_wpn_tablet_c,274,393216,|mc/mtl_t6_wpn_tablet|material|t6_mod_intel_upload|xmodel|zone_source/core_mod.zone|csv
45,material,mc/mtl_t6_wpn_tablet,844,0,|t6_mod_intel_upload|xmodel|zone_source/core_mod.zone|csv
46,collisionTree,t6_mod_intel_uploadc8f0fd59,2064,0,|t6_mod_intel_uploadc8f0fd59|xmodelmesh|t6_mod_intel_upload|xmodel|zone_source/core_mod.zone|csv
47,collisionTree,t6_mod_intel_uploadc8f0fd59,1304,0,|t6_mod_intel_uploadc8f0fd59|xmodelmesh|t6_mod_intel_upload|xmodel|zone_source/core_mod.zone|csv
48,collisionTree,t6_mod_intel_uploadc8f0fd59,354,0,|t6_mod_intel_uploadc8f0fd59|xmodelmesh|t6_mod_intel_upload|xmodel|zone_source/core_mod.zone|csv
49,collisionTree,t6_mod_intel_uploadc8f0fd59,330,0,|t6_mod_intel_uploadc8f0fd59|xmodelmesh|t6_mod_intel_upload|xmodel|zone_source/core_mod.zone|csv
50,collisionTree,t6_mod_intel_uploadc8f0fd59,82,0,|t6_mod_intel_uploadc8f0fd59|xmodelmesh|t6_mod_intel_upload|xmodel|zone_source/core_mod.zone|csv
51,collisionTree,t6_mod_intel_uploadc8f0fd59,266,0,|t6_mod_intel_uploadc8f0fd59|xmodelmesh|t6_mod_intel_upload|xmodel|zone_source/core_mod.zone|csv
52,xmodelmesh,t6_mod_intel_uploadc8f0fd59,810,131920,|t6_mod_intel_upload|xmodel|zone_source/core_mod.zone|csv
53,xmodel,t6_mod_intel_upload,218,0,|zone_source/core_mod.zone|csv
54,stringtable,gamedata/tables/mp/scoreinfo.csv,362266,0,|zone_source/core_mod.zone|csv
55,keyvaluepairs,core_mod,1167,0,||assetlist
56,bgcache,core_mod,10431,0,||assetlist
57,assetlist,,791,0,
